id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1498,154,2019-12-10,10:00:00,10:30:00,4781,"Please add job",35,0,,5,2,,0,completed,3,1,2,16:21:00,00:00:00,00:00:00,17:58:00,00:28:00,22.6083,88.4147,"2019-12-10 07:23:22","2019-12-11 00:10:01",0,pending,1,1,0,1,0
1499,154,2019-12-10,07:00:00,08:00:00,4781,,35,0,,"2,5,7",2,,0,completed,3,1,2,19:15:00,00:00:00,00:00:00,20:07:00,20:57:00,22.6098,88.414,"2019-12-10 07:43:34","2019-12-11 00:10:01",0,pending,1,1,0,1,0
1509,154,2019-12-10,02:02:00,02:32:00,5062,,2519,0,,2,2,25,0,completed,4,1,2,14:56:00,00:00:00,00:00:00,14:56:00,00:00:00,1,0,"2019-12-10 09:20:50","2019-12-11 00:10:01",0,pending,1,1,0,0,0
1516,154,2019-12-10,12:03:00,12:35:00,4781,,2560,0,,2,2,"26,25,24,20,14",0,completed,3,1,2,15:10:00,00:00:00,00:00:00,15:10:00,00:00:00,1,0,"2019-12-10 09:34:48","2019-12-11 00:10:01",0,pending,1,1,0,0,0
1527,154,2019-12-10,16:10:00,16:40:00,4781,,2560,0,,5,2,"25,24",0,completed,3,1,2,15:50:00,00:00:00,00:00:00,15:50:00,00:00:00,0,0,"2019-12-10 10:08:57","2019-12-11 00:10:01",0,pending,1,1,0,0,0
1534,154,2019-12-10,17:56:00,18:30:00,16,,2560,0,,1,2,,0,completed,3,1,2,17:30:00,00:00:00,00:00:00,17:52:00,00:22:00,0,0,"2019-12-10 11:54:31","2019-12-11 00:10:01",0,pending,1,1,0,0,0
1535,154,2019-12-10,19:09:00,19:40:00,4781,,2560,0,,2,2,,0,completed,3,1,2,18:41:00,00:00:00,00:00:00,22:33:00,03:51:00,0,1,"2019-12-10 13:07:27","2019-12-11 00:10:01",0,pending,1,1,0,0,0
1541,56,2019-12-11,10:00:00,12:00:00,872,,2564,2565,,"2,5,7",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-11 06:04:42","2019-12-11 06:11:08",0,approved,0,0,0,0,0
1545,154,2019-12-11,09:00:00,09:30:00,4781,,2560,0,,2,2,,0,completed,3,1,2,13:31:00,00:00:00,00:00:00,13:55:00,00:20:00,1,0,"2019-12-11 07:59:35","2019-12-11 08:25:51",0,pending,1,0,0,0,0
1547,154,2019-12-11,14:00:00,15:00:00,4781,,2560,0,,"2,5",2,,0,completed,3,1,2,14:03:00,00:00:00,00:00:00,14:10:00,00:07:00,0,0,"2019-12-11 08:27:53","2019-12-11 08:40:09",0,pending,0,0,0,0,0
1548,154,2019-12-11,15:30:00,16:00:00,4781,,2560,0,,5,2,,0,completed,3,1,2,15:02:00,00:00:00,00:00:00,15:30:00,00:20:00,0,0,"2019-12-11 09:30:15","2019-12-11 10:01:14",0,pending,1,0,0,0,0
1549,154,2019-12-11,16:43:00,17:15:00,4781,,2560,0,,2,2,,0,completed,3,1,2,16:15:00,00:00:00,00:00:00,16:17:00,00:02:00,0,0,"2019-12-11 10:43:25","2019-12-11 10:47:25",0,pending,1,0,0,0,0
1550,154,2019-12-11,19:00:00,19:30:00,4781,,2560,0,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-11 10:44:41","2019-12-11 10:45:01",0,pending,0,0,0,0,0
1551,154,2019-12-11,12:10:00,12:40:00,4781,,35,0,,2,2,,0,completed,3,1,2,16:28:00,00:00:00,00:00:00,16:30:00,00:02:00,22.6091,88.4144,"2019-12-11 10:53:16","2019-12-11 11:00:33",0,pending,1,0,0,1,0
1552,154,2019-12-11,00:00:00,00:30:00,4781,,2560,0,,5,2,,0,completed,3,1,2,17:10:00,00:00:00,00:00:00,17:11:00,00:01:00,22.6091,88.4144,"2019-12-11 10:58:14","2019-12-11 11:41:50",0,pending,1,0,0,1,0
1553,154,2019-12-11,17:05:00,17:37:00,16,,35,0,,,2,,0,completed,3,1,2,16:35:00,00:00:00,00:00:00,16:36:00,00:01:00,22.6091,88.4144,"2019-12-11 11:03:29","2019-12-11 11:06:52",0,pending,1,0,0,0,0
1558,2567,2019-12-24,12:00:00,15:00:00,5071,,2566,0,"Please provide receipt images for your extra expenses.","71,28,5",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-11 13:16:02","2019-12-11 13:16:17",0,pending,0,0,0,0,0
