id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1855,2571,2020-03-06,11:00:00,15:00:00,5077,,173,0,40,,133,2,,0,completed,3,1,2,11:04:00,00:00:00,00:00:00,15:11:00,04:07:00,40.5315,-74.3771,"2020-02-26 16:19:13","2020-03-06 20:14:38",0,pending,1,0,0,0,0
1909,316,2020-03-05,17:30:00,20:30:00,2408,,268,0,33,,531,2,,0,completed,4,1,2,18:02:00,00:00:00,00:00:00,20:30:00,02:28:00,40.652,-73.5871,"2020-03-02 13:46:49","2020-03-06 04:18:27",0,pending,1,0,0,1,0
1910,316,2020-03-05,17:00:00,20:00:00,2891,,205,0,47,,232,2,,0,completed,4,1,2,18:17:00,00:00:00,00:00:00,21:29:00,03:12:00,40.7104,-73.892,"2020-03-02 13:47:54","2020-03-06 04:19:17",0,pending,1,0,0,1,0
1913,2573,2020-03-04,16:00:00,19:00:00,536,,259,0,35,,"158,133",2,,0,completed,4,1,2,16:57:00,00:00:00,00:00:00,20:08:00,03:11:00,40.655,-74.009,"2020-03-02 18:12:14","2020-03-06 04:23:02",0,pending,1,0,0,1,0
1919,309,2020-03-06,16:00:00,19:00:00,4022,,251,0,35,,936,2,,0,approved,3,1,1,16:56:00,00:00:00,00:00:00,00:00:00,00:00:00,40.7645,-73.4537,"2020-03-04 13:24:28","2020-03-06 22:06:22",0,pending,0,0,0,1,0
1920,309,2020-03-06,16:00:00,19:00:00,1937,,254,0,35,,146,2,,0,approved,3,1,1,16:04:00,00:00:00,00:00:00,00:00:00,00:00:00,40.6038,-73.656,"2020-03-04 13:25:55","2020-03-06 21:14:41",0,pending,0,0,0,0,0
1921,309,2020-03-06,16:00:00,19:00:00,4011,,2680,0,35,,132,2,,0,completed,3,1,2,16:04:00,00:00:00,00:00:00,16:15:00,00:11:00,40.753,-73.1182,"2020-03-04 13:27:14","2020-03-06 21:37:05",0,pending,1,0,0,0,0
1923,309,2020-03-07,15:00:00,18:00:00,2298,,2678,0,35,,936,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-04 13:30:16","2020-03-06 19:38:45",0,pending,0,0,0,0,0
1940,2573,2020-03-06,18:00:00,21:00:00,1019,,259,0,35,,133,2,,0,approved,3,1,1,18:11:00,00:00:00,00:00:00,00:00:00,00:00:00,40.5902,-73.9728,"2020-03-04 20:50:21","2020-03-06 23:21:21",0,pending,0,0,0,1,0
1944,2573,2020-04-03,18:00:00,21:00:00,1019,,259,0,35,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-04 20:52:24","2020-03-06 17:19:47",0,pending,0,0,0,0,0
1956,2661,2020-03-05,19:00:00,22:00:00,4180,,2551,2707,35,,133,2,,0,completed,3,1,2,19:13:00,00:00:00,00:00:00,22:00:00,02:47:00,41.0835,-74.0585,"2020-03-04 23:04:09","2020-03-06 03:03:06",0,approved,1,0,0,1,0
1998,2574,2020-03-05,13:00:00,16:00:00,5128,,2690,2691,35,,133,2,,0,completed,4,1,2,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 02:32:49","2020-03-06 04:21:53",0,approved,1,0,0,0,0
2026,324,2020-03-06,18:00:00,21:00:00,684,,2697,2745,25,,"165,142,894",2,,0,approved,3,1,1,18:11:00,00:00:00,00:00:00,00:00:00,00:00:00,40.8564,-73.9053,"2020-03-05 16:22:35","2020-03-06 23:21:15",0,approved,0,0,0,1,0
2032,324,2020-03-13,18:00:00,21:00:00,684,,2697,0,0,,"133,142,894",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 19:59:28","2020-03-06 10:08:29",0,pending,0,0,0,0,0
2052,2585,2020-03-07,13:00:00,19:00:00,5076,,252,0,35,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-06 04:28:45","2020-03-06 05:02:33",0,pending,0,0,0,0,0
2058,324,2020-03-06,18:00:00,21:00:00,781,,2697,2746,25,,"146,959,142",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-06 04:55:21","2020-03-06 21:38:31",0,approved,0,0,0,0,0
