id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1854,2571,2020-03-05,11:20:00,15:00:00,5077,,173,0,40,,133,2,,0,completed,3,1,2,11:06:00,00:00:00,00:00:00,15:12:00,04:06:00,40.5311,-74.3746,"2020-02-26 16:18:47","2020-03-05 20:16:53",0,pending,1,0,0,0,0
1879,316,2020-03-05,15:00:00,18:00:00,1878,,2551,2688,35,"Also La puerta Negra","155,133",2,,0,completed,3,1,2,15:05:00,00:00:00,00:00:00,18:04:00,02:59:00,40.7731,-73.0503,"2020-03-01 00:13:00","2020-03-05 23:04:43",0,approved,0,0,0,0,0
1909,316,2020-03-05,17:30:00,20:30:00,2408,,268,0,33,,531,2,,0,approved,3,1,1,18:02:00,00:00:00,00:00:00,00:00:00,00:00:00,40.652,-73.5872,"2020-03-02 13:46:49","2020-03-05 23:12:16",0,pending,0,0,0,1,0
1910,316,2020-03-05,17:00:00,20:00:00,2891,,205,0,47,,232,2,,0,approved,3,1,1,18:17:00,00:00:00,00:00:00,00:00:00,00:00:00,40.7104,-73.892,"2020-03-02 13:47:54","2020-03-05 23:27:35",0,pending,0,0,0,1,0
1998,2574,2020-03-05,13:00:00,16:00:00,5128,,2690,2691,35,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 02:32:49","2020-03-05 02:50:53",0,approved,0,0,0,0,0
1999,2574,2020-03-08,13:00:00,16:00:00,5128,,2690,2691,35,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 02:34:09","2020-03-05 02:50:28",0,approved,0,0,0,0,0
2004,307,2020-03-07,16:00:00,20:00:00,5132,,2551,0,0,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 14:22:02","2020-03-05 16:41:21",0,pending,0,0,0,0,0
2012,316,2020-03-06,12:30:00,16:30:00,4573,,2690,2691,35,,"216,385,142",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 14:55:03","2020-03-05 15:09:22",0,approved,0,0,0,0,0
2029,2574,2020-03-06,12:00:00,15:00:00,5128,,267,0,33,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 17:04:41","2020-03-05 17:09:26",0,pending,0,0,0,0,0
2033,62,2020-03-05,15:10:00,18:00:00,5099,,2583,0,20,,126,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 20:02:41","2020-03-05 20:04:09",0,pending,0,0,0,0,0
