id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1426,154,2019-12-09,10:49:00,11:19:00,4781,,2521,0,,11,2,,0,approved,3,1,3,18:49:00,00:00:00,00:00:00,11:48:00,00:08:00,1,0,"2019-09-19 05:19:25","2019-12-09 13:19:16",0,pending,0,0,0,0,0
1467,2535,2019-11-29,17:35:00,18:05:00,5069,,2477,0,,2,2,"24,22",0,completed,3,1,2,17:14:00,00:00:00,00:00:00,23:19:00,06:05:00,0,1,"2019-11-29 11:40:23","2019-12-09 11:30:59",0,pending,0,0,0,0,0
1471,154,2019-12-09,05:00:00,06:00:00,4781,,2522,0,,"2,5",2,,0,completed,3,1,2,13:30:00,00:00:00,00:00:00,13:33:00,00:03:00,1,0,"2019-12-09 07:57:39","2019-12-09 08:04:10",0,pending,1,0,0,0,0
1472,154,2019-12-09,02:00:00,03:00:00,4781,,2522,0,,"2,9,9,9",2,,0,completed,3,1,3,13:41:00,00:00:00,00:00:00,14:26:00,00:41:00,22.6105,88.4163,"2019-12-09 08:07:22","2019-12-09 09:23:38",0,pending,1,0,0,1,0
1473,154,2019-12-09,11:00:00,11:30:00,4781,,2522,0,,2,2,,0,completed,3,1,2,14:50:00,00:00:00,00:00:00,15:22:00,00:32:00,22.607,88.4147,"2019-12-09 08:58:07","2019-12-09 09:52:28",0,pending,1,0,0,1,0
1474,154,2019-12-09,07:16:00,07:50:00,4781,,2522,0,,5,2,,0,completed,3,1,2,14:38:00,00:00:00,00:00:00,15:13:00,06:13:00,1,0,"2019-12-09 09:02:34","2019-12-09 09:44:07",0,pending,1,0,0,0,0
1476,154,2019-12-09,05:45:00,06:25:00,16,,35,0,,1,2,,0,approved,3,1,3,16:20:00,00:00:00,00:00:00,00:00:00,00:00:00,22.6091,88.4144,"2019-12-09 10:43:57","2019-12-09 12:50:29",0,pending,0,0,0,1,0
1477,154,2019-12-09,06:10:00,06:40:00,4781,,2522,0,,2,2,,0,completed,3,1,2,16:40:00,00:00:00,00:00:00,16:43:00,00:03:00,1,0,"2019-12-09 10:52:43","2019-12-09 11:14:17",0,pending,1,0,0,0,0
1482,154,2019-12-09,09:00:00,09:32:00,4781,,2477,0,,2,2,,0,completed,3,1,2,17:42:00,00:00:00,00:00:00,17:51:00,00:09:00,1,0,"2019-12-09 12:08:59","2019-12-09 12:22:14",0,pending,1,0,0,0,0
1484,154,2019-12-09,18:20:00,18:50:00,4781,,35,0,,9,2,,0,approved,3,1,4,18:22:00,00:00:00,00:00:00,00:00:00,00:00:00,22.6093,88.4144,"2019-12-09 12:49:26","2019-12-09 13:03:37",0,pending,0,0,0,0,0
1489,154,2019-12-09,10:00:00,10:40:00,4781,,2522,0,,2,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-09 13:45:22","2019-12-09 13:45:36",0,pending,0,0,0,0,0
