id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late
1155,154,2019-07-22,15:00:00,15:30:00,9,,35,0,"Good luck.",26,2,,0,completed,4,1,2,16:39:00,00:00:00,00:00:00,17:11:00,00:32:00,22.6091,88.4141,"2019-07-22 09:30:25","2019-07-24 05:25:24",0,pending,1,0,0,1
1157,154,2019-07-23,12:25:00,12:35:00,9,,87,0,,1,2,,0,completed,3,1,2,16:00:00,00:00:00,00:00:00,16:01:00,00:01:00,1,0,"2019-07-22 11:34:24","2019-07-24 00:10:01",0,pending,1,1,0,0
1169,154,2019-07-23,10:40:00,11:10:00,16,,35,0,,"1,26",2,22,0,completed,3,1,2,10:53:00,00:00:00,00:00:00,10:56:00,00:03:00,22.6091,88.4142,"2019-07-23 05:09:41","2019-07-24 00:10:01",0,pending,1,1,0,0
1170,154,2019-07-23,14:32:00,15:08:00,9,,2477,0,,"26,27",2,,0,completed,3,1,2,14:37:00,00:00:00,00:00:00,14:39:00,00:02:00,22.6091,88.4141,"2019-07-23 09:02:07","2019-07-24 00:10:01",0,pending,1,1,0,0
1171,154,2019-07-23,15:09:00,15:43:00,16,,2500,0,,26,2,,0,completed,4,1,2,15:30:00,00:00:00,00:00:00,15:34:00,00:04:00,1,0,"2019-07-23 09:39:44","2019-07-24 00:10:01",0,pending,1,1,0,0
1173,154,2019-07-23,15:44:00,15:56:00,9,,2500,0,,1,2,,0,completed,4,1,2,16:12:00,00:00:00,00:00:00,16:14:00,00:02:00,1,0,"2019-07-23 10:24:35","2019-07-24 00:10:01",0,pending,1,1,0,0
1174,154,2019-07-24,14:00:00,15:00:00,9,,2500,0,,1,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-23 10:30:23","2019-07-24 07:16:39",0,pending,0,0,0,0
1175,154,2019-07-23,16:30:00,17:30:00,35,,2504,0,,2,2,,0,completed,4,1,2,18:28:00,00:00:00,00:00:00,18:30:00,00:02:00,1,0,"2019-07-23 10:35:42","2019-07-24 06:09:56",0,pending,1,0,0,0
1176,157,2019-07-24,10:00:00,10:30:00,35,,2504,0,,2,2,,0,completed,4,1,2,10:51:00,00:00:00,00:00:00,10:51:00,00:00:00,1,0,"2019-07-24 05:05:38","2019-07-24 05:24:32",0,pending,1,0,0,0
1178,157,2019-07-24,11:24:00,11:30:00,35,,35,0,,"11,5,9,19,90,59,23,95,92,83,12,82,2,25,10,18,7,71,72,73,70,74",2,,0,completed,3,1,2,11:27:00,00:00:00,00:00:00,11:31:00,00:04:00,22.6091,88.4141,"2019-07-24 05:33:24","2019-07-24 06:02:54",0,pending,1,0,0,0
1179,154,2019-07-24,12:00:00,12:11:00,16,,2500,0,,1,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-24 06:41:03","2019-07-24 06:44:21",0,pending,0,0,0,0
1180,154,2019-07-24,11:00:00,11:02:00,9,,2500,0,,1,2,,0,completed,4,1,2,12:17:00,00:00:00,00:00:00,12:17:00,00:00:00,1,0,"2019-07-24 06:45:58","2019-07-24 06:48:56",0,pending,1,0,0,0
