id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late
1135,154,2019-07-18,15:12:00,16:12:00,16,,35,0,"Good day.","26,27",2,23,0,completed,4,1,2,15:33:00,00:00:00,00:00:00,15:42:00,00:09:00,22.6091,88.4141,"2019-07-18 09:33:50","2019-07-19 00:10:02",0,pending,1,1,0,1
1136,154,2019-07-20,19:00:00,22:00:00,16,,35,0,,27,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-18 11:21:35","2019-07-19 08:08:18",0,pending,0,0,0,0
1137,154,2019-07-20,18:00:00,23:00:00,9,,35,0,"Good luck.",27,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-18 11:22:25","2019-07-19 09:49:50",0,pending,0,0,0,0
1138,154,2019-07-31,09:00:00,11:00:00,16,,35,0,,2,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-18 12:56:42","2019-07-19 07:56:12",0,pending,0,0,0,0
1139,154,2019-07-31,08:00:00,11:59:00,35,,35,0,,2,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-18 13:03:45","2019-07-19 08:08:01",0,pending,0,0,0,0
1140,157,2019-07-19,12:24:00,12:35:00,35,,35,0,,"5,11",2,,0,completed,3,1,2,12:27:00,00:00:00,00:00:00,12:30:00,00:03:00,22.6091,88.4141,"2019-07-19 06:53:26","2019-07-19 07:00:45",0,pending,1,0,0,0
1142,157,2019-07-20,22:27:00,22:59:00,35,,35,0,,"5,11",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-19 07:59:59","2019-07-19 09:42:59",0,pending,0,0,0,0
1144,154,2019-07-19,15:06:00,15:36:00,9,,35,0,,"26,27",2,,0,completed,3,1,2,15:14:00,00:00:00,00:00:00,15:17:00,00:03:00,22.6091,88.4141,"2019-07-19 09:37:46","2019-07-19 09:48:48",0,pending,1,0,0,0
1145,154,2019-07-19,12:12:00,12:22:00,9,"New Problem",35,0,"New Issue",1,2,24,0,completed,3,1,2,15:56:00,00:00:00,00:00:00,16:06:00,00:10:00,1,0,"2019-07-19 10:25:27","2019-07-19 10:59:36",0,pending,1,0,0,0
1146,154,2019-07-19,10:00:00,13:00:00,9,,35,0,,1,2,,0,completed,3,1,2,16:35:00,00:00:00,00:00:00,16:40:00,00:05:00,1,0,"2019-07-19 11:04:16","2019-07-19 11:11:17",0,pending,1,0,0,0
1149,154,2019-07-19,17:10:00,17:40:00,16,,35,0,"Good luck.","26,27",2,23,0,completed,3,1,2,17:04:00,00:00:00,00:00:00,17:06:00,00:02:00,22.6091,88.4141,"2019-07-19 11:25:38","2019-07-19 11:53:09",0,pending,1,0,0,0
1150,154,2019-07-19,18:00:00,18:30:00,16,,35,0,,"26,27",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-19 12:21:44","2019-07-19 12:23:55",0,pending,0,0,0,0
