id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1763,2636,2020-03-13,11:00:00,15:00:00,505,,2557,0,0,,"146,175,155,142,127",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-12 21:17:43","2020-03-12 02:39:07",0,pending,0,0,0,0,0
1764,2636,2020-03-20,11:00:00,15:00:00,505,,2557,0,0,,"146,175,155,142,127",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-12 21:18:21","2020-03-12 02:38:59",0,pending,0,0,0,0,0
1765,2636,2020-03-27,11:00:00,15:00:00,505,,2557,0,0,,"146,175,155,142,127",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-12 21:18:47","2020-03-12 02:38:55",0,pending,0,0,0,0,0
1914,316,2020-03-06,17:00:00,20:00:00,1892,,2557,0,0,,"147,961,142",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-03 21:49:47","2020-03-12 02:39:10",0,pending,0,0,0,0,0
1927,316,2020-03-07,17:00:00,20:00:00,144,,2557,0,0,,"147,166,155,133",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-04 16:47:49","2020-03-12 02:38:23",0,pending,0,0,0,0,0
2028,310,2020-03-28,16:00:00,19:00:00,2697,R.Jelinek,2557,2629,0,R.Jelinek,874,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-05 17:01:08","2020-03-12 02:40:16",0,approved,0,0,0,0,0
2082,316,2020-03-13,17:00:00,20:00:00,637,,2557,0,0,,"165,159,133",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-10 19:52:52","2020-03-12 02:38:31",0,pending,0,0,0,0,0
2084,316,2020-03-14,17:00:00,20:00:00,1537,,2557,0,0,,"154,148,961",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 01:06:46","2020-03-12 02:38:34",0,pending,0,0,0,0,0
2088,316,2020-03-14,13:00:00,16:00:00,2097,,2557,0,0,,"165,158,133",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 01:18:33","2020-03-12 02:38:37",0,pending,0,0,0,0,0
2089,316,2020-03-14,13:00:00,16:00:00,2097,,2557,0,0,,"165,158,133",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 01:18:46","2020-03-12 02:38:39",0,pending,0,0,0,0,0
2097,309,2020-03-12,16:00:00,19:00:00,4099,,2557,0,0,,"202,218",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 23:36:05","2020-03-12 02:38:42",0,pending,0,0,0,0,0
2102,316,2020-03-13,14:00:00,17:00:00,2477,,2557,0,0,,540,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 23:41:58","2020-03-12 02:38:48",0,pending,0,0,0,0,0
2104,316,2020-03-14,16:00:00,19:00:00,4623,,2557,0,0,,205,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-11 23:43:26","2020-03-12 02:39:18",0,pending,0,0,0,0,0
