id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
333,36,2019-01-04,19:00:00,20:30:00,6,"Good luck.",35,0,5,"Best of luck.",9,2,22,0,completed,3,1,2,00:00:00,00:00:00,00:00:00,19:00:00,00:00:01,30.2672,-97.7431,"2019-01-04 12:26:41","2019-12-13 11:07:22",0,pending,0,0,0,0,0
433,36,2019-02-04,16:00:00,18:30:00,16,"Approve 5",35,0,5,"Good Luck","1,11",2,21,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-16 12:51:05","2019-12-13 11:07:22",0,pending,0,0,0,0,0
436,36,2019-01-27,07:00:00,10:30:00,9,"Note updated by DR",84,0,235,"taster note","8,11,18",2,22,0,completed,3,1,2,07:00:00,00:00:00,00:00:00,10:30:00,02:45:00,30.2672,-97.7431,"2019-01-17 04:51:38","2019-12-13 11:07:22",0,pending,0,0,0,0,0
441,36,2019-01-17,15:00:00,17:30:00,6,Nice,35,0,5,"Good day.","7,8",2,22,0,completed,3,1,2,16:00:00,00:00:00,00:00:00,16:08:00,00:00:02,30.2672,-97.7431,"2019-01-17 09:11:43","2019-12-13 11:07:22",0,pending,0,0,0,0,0
442,36,2019-01-17,16:00:00,18:30:00,6,Nice,35,0,5,Good,"9,10",2,21,0,approved,3,1,1,18:27:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-17 10:30:17","2019-12-13 11:07:22",0,pending,0,0,0,0,0
443,36,2019-01-17,16:00:00,17:30:00,6,Good,35,0,5,Nice,"9,10",2,21,0,approved,3,1,1,18:05:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-17 10:31:48","2019-12-13 11:07:22",0,pending,0,0,0,0,0
447,36,2019-01-18,18:20:00,20:39:00,6,"Good day.",35,0,5,"Good luck.","6,7",2,22,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-18 12:44:55","2019-12-13 11:07:22",0,pending,0,0,0,0,0
449,36,2019-01-21,13:25:00,17:55:00,6,"Good day.",35,0,5,"Nice weather.","9,10",2,19,0,approved,3,1,1,18:45:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-21 07:47:58","2019-12-13 11:07:22",0,pending,0,0,0,0,0
450,36,2019-01-21,14:00:00,14:30:00,6,"Good day.",35,0,5,"Nice day","7,8",2,21,0,completed,3,1,2,00:00:00,00:00:00,00:00:00,13:37:00,00:30:00,30.2672,-97.7431,"2019-01-21 08:01:46","2019-12-13 11:07:22",0,pending,0,0,0,0,0
455,36,2019-01-22,14:00:00,16:30:00,6,"Good day.",35,0,5,"Good luck.","10,18,19",2,22,0,completed,3,1,2,00:00:00,00:00:00,00:00:00,13:58:00,02:30:00,30.2672,-97.7431,"2019-01-22 08:18:57","2019-12-13 11:07:22",0,pending,0,0,0,0,0
456,36,2019-01-22,15:00:00,16:30:00,6,"Good day.",35,0,5,"Good luck","8,19",2,21,0,completed,3,1,2,00:00:00,00:00:00,00:00:00,15:13:00,01:30:00,30.2672,-97.7431,"2019-01-22 09:17:41","2019-12-13 11:07:22",0,pending,0,0,0,0,0
457,36,2019-01-22,15:00:00,17:30:00,6,Nice,35,0,5,"Good luck.","7,19",2,22,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-22 09:18:24","2019-12-13 11:07:22",0,pending,0,0,0,0,0
458,36,2019-01-22,15:00:00,21:30:00,6,Good.,35,0,5,"Good luck.","5,18,19",2,21,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-22 09:19:14","2019-12-13 11:07:22",0,pending,0,0,0,0,0
462,36,2019-01-24,13:16:00,16:46:00,6,Good,35,0,5,"Good luck","11,19",2,22,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-24 07:44:08","2019-12-13 11:07:22",0,pending,0,0,0,0,0
464,36,2019-01-30,10:00:00,10:30:00,6,Approve,35,0,5,"Good Luck",7,2,22,0,completed,4,1,1,10:00:00,00:00:00,00:00:00,19:00:00,09:00:00,0,0,"2019-01-24 10:45:22","2019-12-13 11:07:22",0,pending,1,1,0,0,0
467,36,2019-01-24,18:00:00,20:30:00,6,"Approve It",35,0,5,"Good Luck",19,2,22,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-24 11:36:18","2019-12-13 11:07:22",0,pending,0,0,0,0,0
469,36,2019-01-25,11:00:00,12:30:00,6,"Good day.",35,0,5,"Good luck.",11,2,22,0,completed,3,1,2,11:10:00,00:00:00,00:00:00,11:10:00,01:30:00,0,0,"2019-01-25 04:52:44","2019-12-13 11:07:22",0,pending,0,0,0,0,0
473,36,2019-01-25,15:05:00,18:35:00,6,"Good day.",35,0,5,"Good luck.","10,11",2,22,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-25 09:34:53","2019-12-13 11:07:22",0,pending,0,0,0,0,0
474,36,2019-01-28,11:00:00,14:30:00,6,"Good day.",35,0,5,"Good luck.","7,11",2,22,0,approved,3,1,1,11:15:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-28 05:38:29","2019-12-13 11:07:22",0,pending,0,0,0,0,0
475,36,2019-01-28,11:00:00,13:30:00,6,Good,35,0,5,"Good luck.","7,8",2,21,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-28 05:40:02","2019-12-13 11:07:22",0,pending,0,0,0,0,0
479,36,2019-01-29,11:00:00,20:30:00,9,"Good luck",50,0,316,Good,19,2,22,0,completed,4,1,1,12:37:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-29 05:11:44","2019-12-13 11:07:22",0,pending,1,0,0,0,0
480,36,2019-01-29,15:00:00,18:30:00,9,"Good luck",50,0,316,"Good luck",18,2,21,0,completed,4,1,1,15:25:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-01-29 09:52:09","2019-12-13 11:07:22",0,pending,1,0,0,0,0
