id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived
464,36,2019-01-30,10:00:00,10:30:00,6,Approve,35,0,"Good Luck",7,2,22,0,completed,4,1,1,10:00:00,00:00:00,00:00:00,19:00:00,09:00:00,0,0,"2019-01-24 10:45:22","2019-05-28 09:57:49",0,pending,1,1
876,154,2019-05-28,17:15:00,19:00:00,18,,35,0,,8,2,24,0,completed,3,1,2,16:16:00,00:00:00,00:00:00,16:43:00,00:24:00,22.6091,88.4141,"2019-05-27 09:03:21","2019-05-28 11:14:19",0,pending,1,0
881,154,2019-05-28,07:00:00,08:30:00,9,"Sample Admin Note",87,0,"Sample Taster Note",26,2,23,0,completed,3,1,2,07:14:00,00:00:00,00:00:00,07:50:00,15:35:00,22.6012,88.4251,"2019-05-28 01:25:30","2019-05-28 02:20:52",0,pending,1,0
882,2466,2019-05-28,09:00:00,11:30:00,4776,,2471,0,"Be nice!","70,71,72",2,19,0,completed,4,1,2,10:16:00,00:00:00,00:00:00,10:17:00,00:01:00,40.6627,-74.0999,"2019-05-28 03:11:15","2019-05-28 14:28:39",0,pending,1,0
883,2467,2019-05-28,09:00:00,11:30:00,4777,,2473,0,.,"71,72,73",2,20,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 03:17:54","2019-05-28 03:36:27",0,pending,0,0
884,2468,2019-05-28,09:00:00,11:30:00,4778,,2474,0,.,"71,72,73",2,23,0,completed,4,1,2,10:13:00,00:00:00,00:00:00,10:16:00,00:03:00,40.6628,-74.0998,"2019-05-28 03:25:14","2019-05-28 14:28:27",0,pending,1,0
885,2469,2019-05-28,09:00:00,11:30:00,4779,,2475,0,.,"70,71,72",2,18,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 03:26:51","2019-05-28 03:35:59",0,pending,0,0
886,2470,2019-05-28,09:00:00,11:30:00,4780,,2472,0,.,"71,72",2,19,0,completed,4,1,2,10:16:00,00:00:00,00:00:00,10:17:00,00:01:00,40.6627,-74.0999,"2019-05-28 03:28:29","2019-05-28 14:28:10",0,pending,1,0
887,129,2019-05-28,08:00:00,10:00:00,28,,131,0,,"70,71,72",2,23,0,completed,3,1,2,08:12:00,00:00:00,00:00:00,08:13:00,00:01:00,40.6028,-74.1325,"2019-05-28 03:47:18","2019-05-28 12:14:13",0,pending,1,0
888,132,2019-05-28,08:00:00,10:00:00,27,,130,0,,"70,71,72",2,18,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 03:49:18","2019-05-28 03:56:00",0,pending,0,0
889,2467,2019-05-28,08:15:00,09:00:00,4777,,2471,0,Nice,71,2,19,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 03:55:46","2019-05-28 03:58:38",0,pending,0,0
890,2466,2019-05-28,01:00:00,02:30:00,4776,,2471,0,.,71,2,23,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 04:02:29","2019-05-28 04:04:07",0,pending,0,0
891,154,2019-05-28,11:42:00,13:12:00,16,,87,0,,26,2,24,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 05:17:35","2019-05-28 05:19:19",0,pending,0,0
894,154,2019-05-28,20:14:00,21:44:00,16,,87,0,,"27,29",2,"23,22",0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 07:43:47","2019-05-28 14:49:42",0,pending,0,0
896,154,2019-05-28,17:48:00,18:18:00,6,,30,0,,"2,5,9,11,25",2,"24,23,22,21",0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 11:18:27","2019-05-28 11:21:52",0,pending,0,0
897,2476,2019-05-28,20:45:00,21:45:00,4781,,2477,0,,"2,7,9",2,23,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 12:51:39","2019-05-28 14:54:03",0,pending,0,0
898,154,2019-05-28,19:16:00,19:46:00,6,,30,0,"Good day.","2,5",2,"24,23",0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-28 13:19:32","2019-05-28 13:21:12",0,pending,0,0
899,154,2019-05-28,20:37:00,21:30:00,9,"Sample admin note",35,0,"Sample taster note",27,2,24,0,approved,3,1,1,20:48:00,00:00:00,00:00:00,00:00:00,00:00:00,22.6091,88.4141,"2019-05-28 15:03:04","2019-05-28 15:18:06",0,pending,0,0
