id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1768,2585,2020-02-29,17:30:00,20:30:00,5113,,2637,2658,0,,"140,154,170,158",2,,0,completed,3,1,2,17:18:00,00:00:00,00:00:00,20:34:00,03:16:00,40.7187,-73.9851,"2020-02-12 22:31:14","2020-03-01 01:40:40",0,approved,1,0,0,0,0
1850,2571,2020-03-01,11:00:00,15:00:00,5077,,173,0,40,,133,2,,0,completed,3,1,2,11:00:00,00:00:00,00:00:00,15:10:00,04:10:00,40.5304,-74.3756,"2020-02-26 16:14:25","2020-03-01 20:15:47",0,pending,1,0,0,0,0
1880,309,2020-03-01,12:00:00,15:00:00,1902,,266,0,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 14:24:55","2020-03-01 14:45:08",0,pending,0,0,0,0,0
1882,307,2020-03-01,16:00:00,20:00:00,5127,,2551,2687,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 15:10:38","2020-03-01 21:15:07",0,approved,0,0,0,0,0
1883,2573,2020-03-01,13:00:00,16:00:00,536,,274,0,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 15:12:19","2020-03-01 15:12:55",0,pending,0,0,0,0,0
1884,307,2020-03-01,12:30:00,15:30:00,372,,2637,2644,0,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 15:15:07","2020-03-01 16:16:04",0,approved,0,0,0,0,0
1887,2574,2020-03-01,13:00:00,16:00:00,5128,,2690,2691,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 15:45:02","2020-03-01 17:20:30",0,approved,0,0,0,0,0
1889,2591,2020-03-01,13:00:00,15:00:00,5080,,261,0,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 15:50:31","2020-03-01 15:54:04",0,pending,0,0,0,0,0
1890,2585,2020-03-01,12:00:00,15:00:00,5075,,252,0,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 16:08:22","2020-03-01 17:05:49",0,pending,0,0,0,0,0
1891,2574,2020-03-02,13:00:00,16:00:00,5128,,2690,2691,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 17:24:44","2020-03-01 17:27:30",0,approved,0,0,0,0,0
1892,2574,2020-03-04,13:00:00,16:00:00,5128,,2690,2691,35,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-03-01 17:25:23","2020-03-01 17:27:38",0,approved,0,0,0,0,0
